,user_id,age,gender,phone_usage_hours,laptop_usage_hours,tablet_usage_hours,tv_usage_hours,social_media_hours,work_related_hours,entertainment_hours,gaming_hours,sleep_duration_hours,sleep_quality,mood_rating,stress_level,physical_activity_hours_per_week,location_type,mental_health_score,uses_wellness_apps,eats_healthy,caffeine_intake_mg_per_day,weekly_anxiety_score,weekly_depression_score,mindfulness_minutes_per_day,anxiety_cat,y
0,user_1,51,Female,3.4,1.3,1.6,1.6,4.1,2.0,1.0,1.7,6.6,6,6,10,0.7,Urban,32,1,1,125.2,13,15,4.0,Medium anxiety score,1
1,user_2,64,Male,3.5,1.8,0.9,2.0,2.7,3.1,1.0,1.5,4.5,7,5,6,4.3,Suburban,75,0,1,150.4,19,18,6.5,High anxiety score,1
2,user_3,41,Other,2.1,2.6,0.7,2.2,3.0,2.8,4.1,1.7,7.1,9,5,5,3.1,Suburban,22,0,0,187.9,7,3,6.9,Medium anxiety score,0
3,user_4,27,Other,0.0,0.0,0.7,2.5,3.3,1.6,1.3,0.4,5.1,9,10,5,0.0,Rural,22,0,1,73.6,7,2,4.8,Medium anxiety score,0
4,user_5,55,Male,1.7,1.1,1.5,1.6,1.1,3.6,0.8,0.8,7.4,2,8,7,3.0,Urban,64,1,1,217.5,8,10,0.0,Medium anxiety score,0
5,user_6,20,Female,3.2,2.7,1.2,3.3,1.6,2.5,3.3,2.9,6.0,3,10,2,3.3,Suburban,72,1,0,102.8,17,16,11.5,High anxiety score,1
6,user_7,33,Male,4.0,3.2,1.9,1.3,0.9,1.7,4.7,1.4,5.9,4,1,9,6.8,Urban,45,0,0,162.8,6,4,7.9,Low anxiety score,0
7,user_8,51,Female,2.9,3.0,0.9,3.4,1.2,2.2,4.0,0.5,5.3,6,8,2,3.5,Urban,23,0,1,147.1,9,8,4.4,Medium anxiety score,0
8,user_9,31,Female,2.3,2.9,1.4,0.4,1.5,2.1,5.5,1.1,7.1,5,7,9,0.0,Suburban,35,1,0,109.7,0,0,21.2,Low anxiety score,0
9,user_10,35,Male,6.4,2.1,1.4,0.5,1.2,2.2,5.6,0.7,7.1,6,1,4,3.5,Urban,47,1,0,206.8,3,8,8.1,Low anxiety score,0
10,user_11,23,Female,2.4,1.0,1.3,0.6,2.3,1.8,1.3,2.1,6.0,8,9,10,3.3,Suburban,27,0,1,110.3,19,3,10.5,High anxiety score,1
11,user_12,23,Male,3.9,1.8,0.7,2.5,2.5,2.4,2.1,0.6,8.7,2,4,10,4.2,Suburban,73,0,1,220.9,3,15,16.4,Low anxiety score,0
12,user_13,36,Male,1.0,0.0,1.2,0.7,0.4,2.9,0.5,1.2,6.5,6,7,6,8.3,Urban,59,0,0,183.4,13,14,0.0,Medium anxiety score,1
13,user_14,48,Female,1.4,3.3,1.0,3.0,1.6,2.5,1.0,0.5,6.5,9,3,1,1.9,Urban,35,0,0,112.5,4,9,9.8,Low anxiety score,0
14,user_15,52,Male,4.0,1.2,0.9,1.0,1.6,2.5,3.9,3.4,6.6,5,8,5,1.7,Urban,50,0,1,90.1,4,4,16.3,Low anxiety score,0
15,user_16,36,Female,4.6,1.5,0.6,1.9,0.2,1.9,2.9,1.8,5.7,1,4,6,3.9,Rural,42,0,1,203.3,18,15,9.3,High anxiety score,1
16,user_17,15,Male,2.4,3.1,0.0,2.1,1.1,0.9,4.4,1.8,5.3,8,2,9,6.7,Urban,21,1,1,92.9,20,5,0.0,High anxiety score,1
17,user_18,34,Other,0.2,0.4,1.6,0.5,3.0,0.6,1.4,1.9,6.1,4,2,9,4.3,Urban,28,1,1,143.3,4,15,6.1,Low anxiety score,0
18,user_19,14,Male,2.7,0.8,1.2,0.1,3.0,1.2,1.8,0.8,7.3,8,8,9,2.3,Suburban,46,0,1,184.8,10,3,11.5,Medium anxiety score,0
19,user_20,36,Female,3.3,2.3,0.3,1.8,0.0,1.5,3.3,2.7,4.3,4,8,3,5.0,Rural,64,1,1,173.2,1,20,0.0,Low anxiety score,0
20,user_21,56,Female,3.1,2.5,1.4,1.2,2.6,4.0,3.9,1.1,4.7,8,1,4,6.6,Rural,73,1,0,139.9,14,14,0.0,High anxiety score,1
21,user_22,42,Male,2.2,1.9,1.6,2.0,0.2,3.5,0.4,3.0,5.8,9,6,8,1.5,Urban,78,0,0,113.5,13,2,25.8,Medium anxiety score,1
22,user_23,50,Other,2.8,2.0,1.4,0.2,1.5,1.3,2.2,0.9,4.3,5,9,8,1.0,Urban,78,1,1,186.1,13,18,13.9,Medium anxiety score,1
23,user_24,14,Female,1.9,3.3,0.6,1.1,1.9,2.5,3.0,1.9,4.8,5,9,2,3.1,Suburban,41,0,0,56.0,7,8,21.9,Medium anxiety score,0
24,user_25,33,Female,1.3,2.6,0.6,1.3,2.9,1.9,3.5,1.4,7.5,2,2,8,3.6,Rural,63,1,0,163.0,19,4,16.9,High anxiety score,1
25,user_26,45,Female,4.1,2.5,0.7,0.0,1.8,2.3,3.8,1.5,6.0,9,8,7,5.8,Urban,53,0,0,85.2,7,15,13.2,Medium anxiety score,0
26,user_27,24,Other,3.1,2.8,1.4,2.5,0.8,1.3,2.4,0.0,5.5,4,8,9,2.1,Urban,28,0,1,106.1,4,2,7.5,Low anxiety score,0
27,user_28,34,Other,2.8,1.7,1.2,0.7,0.6,4.7,0.9,0.2,6.7,3,4,5,3.8,Urban,52,0,1,168.4,4,7,13.0,Low anxiety score,0
29,user_30,37,Female,2.7,0.0,0.2,0.8,1.2,1.6,2.3,0.0,7.9,3,5,5,3.4,Suburban,75,0,1,207.9,4,2,16.6,Low anxiety score,0
30,user_31,61,Male,3.2,3.5,1.0,1.0,1.5,1.3,2.1,2.1,4.4,4,10,2,2.2,Urban,53,1,0,185.3,8,15,11.3,Medium anxiety score,0
31,user_32,39,Male,5.6,2.9,0.0,0.3,3.2,3.1,1.5,3.8,5.4,9,7,5,4.1,Urban,54,1,1,115.1,10,6,8.6,Medium anxiety score,0
32,user_33,54,Female,4.0,2.2,1.3,2.6,2.5,0.5,3.7,1.8,5.8,6,1,9,2.3,Urban,77,0,1,138.7,16,8,14.0,High anxiety score,1
33,user_34,40,Male,2.0,2.1,1.5,2.0,3.9,3.0,1.0,3.3,7.0,10,9,7,3.7,Urban,66,0,1,94.8,11,2,5.7,Medium anxiety score,1
35,user_36,27,Male,1.8,3.1,1.1,1.3,1.1,0.3,4.0,1.5,7.2,9,4,1,2.7,Urban,26,0,0,228.4,15,11,4.4,High anxiety score,1
36,user_37,59,Male,2.7,2.0,0.0,1.5,2.2,1.8,1.5,1.6,6.2,8,7,9,2.2,Rural,64,0,0,90.2,0,16,7.2,Low anxiety score,0
37,user_38,63,Female,1.8,1.3,1.0,0.0,4.2,1.2,2.9,1.0,5.0,6,5,6,1.9,Urban,67,1,1,159.4,17,13,1.8,High anxiety score,1
38,user_39,56,Other,3.7,2.9,1.2,0.9,1.0,2.2,2.5,1.0,4.9,3,5,7,5.0,Suburban,64,1,1,166.2,5,15,6.5,Low anxiety score,0
39,user_40,64,Male,0.0,3.6,0.5,1.7,2.0,2.1,2.8,0.7,7.6,7,1,2,3.4,Rural,46,1,1,87.5,4,18,4.5,Low anxiety score,0
40,user_41,15,Female,3.8,0.1,0.9,1.9,3.6,0.4,3.6,1.6,5.5,10,2,1,5.5,Urban,31,0,0,99.6,17,3,23.5,High anxiety score,1
41,user_42,49,Female,3.4,4.4,0.4,3.3,2.1,1.6,2.9,3.4,6.1,6,5,4,0.0,Urban,36,0,1,59.6,12,2,2.8,Medium anxiety score,1
42,user_43,63,Male,4.9,1.0,0.7,0.0,3.2,2.7,0.7,2.6,8.5,8,2,9,2.0,Urban,40,1,0,178.0,5,12,13.1,Low anxiety score,0
43,user_44,19,Female,4.3,1.0,1.5,1.7,4.3,2.9,0.9,1.4,4.4,6,1,9,1.5,Suburban,62,1,0,132.0,6,8,2.4,Low anxiety score,0
44,user_45,33,Male,2.0,0.8,1.3,1.1,2.4,1.6,2.9,1.8,6.8,10,10,3,2.5,Suburban,41,1,1,113.7,2,12,10.4,Low anxiety score,0
45,user_46,21,Male,4.1,2.0,0.3,1.6,2.6,2.5,1.3,1.1,5.4,4,3,1,0.9,Urban,45,0,0,253.2,10,11,12.3,Medium anxiety score,0
46,user_47,51,Other,2.7,0.7,0.6,1.6,2.9,2.3,3.7,2.6,8.5,10,1,2,0.0,Rural,58,1,0,59.9,7,20,0.0,Medium anxiety score,0
47,user_48,30,Male,0.1,0.8,1.0,1.3,0.9,1.9,2.9,0.0,5.4,7,10,9,4.3,Suburban,32,0,0,214.3,3,14,0.0,Low anxiety score,0
48,user_49,16,Female,3.2,1.3,1.1,0.4,0.2,2.6,0.3,3.1,7.3,7,8,9,1.8,Urban,61,0,0,42.3,9,2,2.4,Medium anxiety score,0
49,user_50,37,Female,2.1,2.1,0.7,0.2,2.2,0.9,5.0,0.7,4.3,8,8,1,4.1,Suburban,61,0,0,124.0,8,2,0.0,Medium anxiety score,0
50,user_51,26,Male,3.0,2.2,1.2,1.2,1.2,2.0,2.0,0.8,8.4,2,8,9,0.6,Urban,64,1,1,65.1,12,1,10.7,Medium anxiety score,1
51,user_52,62,Female,5.5,3.2,1.0,0.1,3.3,0.1,2.2,0.0,7.6,6,7,1,0.0,Suburban,42,0,0,109.0,18,5,11.9,High anxiety score,1
52,user_53,21,Other,3.3,3.2,0.0,1.4,2.4,1.9,3.0,1.4,5.8,3,7,10,3.5,Urban,70,0,0,123.0,14,15,1.5,High anxiety score,1
53,user_54,38,Male,1.5,3.0,0.7,1.2,3.2,3.7,2.4,0.5,7.0,8,2,4,4.3,Suburban,49,1,0,114.5,4,17,11.0,Low anxiety score,0
54,user_55,14,Female,4.4,1.7,0.7,0.0,0.6,1.6,3.8,2.4,7.6,4,9,5,1.8,Urban,74,0,1,162.5,12,8,6.6,Medium anxiety score,1
55,user_56,32,Female,3.5,0.2,1.3,3.4,3.2,3.6,1.2,1.9,6.7,4,7,8,1.0,Suburban,36,0,1,193.9,11,2,9.2,Medium anxiety score,1
56,user_57,40,Female,1.3,0.1,1.3,1.6,0.0,1.6,4.0,0.5,6.0,2,5,5,5.5,Urban,46,1,1,144.3,8,15,5.0,Medium anxiety score,0
57,user_58,59,Female,0.6,3.0,0.2,0.0,0.7,0.7,3.4,0.3,6.4,6,4,5,2.9,Suburban,39,1,1,166.2,7,3,13.9,Medium anxiety score,0
58,user_59,19,Male,1.5,2.8,1.2,1.7,2.8,2.8,1.5,0.6,6.6,6,8,4,1.0,Urban,26,0,0,228.0,8,13,23.1,Medium anxiety score,0
59,user_60,56,Other,4.3,1.4,1.0,1.3,1.4,2.6,2.8,0.3,6.6,1,5,9,0.0,Urban,74,1,1,115.1,20,3,16.2,High anxiety score,1
60,user_61,20,Other,2.5,0.6,1.1,0.2,1.5,4.8,4.1,0.9,7.0,8,6,8,1.6,Urban,23,0,0,195.2,12,17,21.1,Medium anxiety score,1
